"","id_gbs","trait","dap","y_hat"
"471","NSL55700","drymass","NA",11.1889430345213
"472","NSL51981","drymass","NA",11.1891220590164
"473","PI147838","drymass","NA",11.1904565057851
"474","PI276784","drymass","NA",11.193885723729
"475","PI453118","drymass","NA",11.2023199798112
"476","NSL67920","drymass","NA",11.2079791884549
"477","PI526080","drymass","NA",11.2114297584039
"478","PI152636","drymass","NA",11.2161154733488
"479","PI330843","drymass","NA",11.2247824479224
"480","PI152654","drymass","NA",11.2359368450193
"481","PI563353","drymass","NA",11.2378280159168
"482","PI563186","drymass","NA",11.2595349885185
"483","PI297171","drymass","NA",11.2840070240016
"484","PI453224","drymass","NA",11.2874666562643
"485","PI514254","drymass","NA",11.2910166196596
"486","PI453281","drymass","NA",11.2924308197764
"487","NSL55698","drymass","NA",11.2996269058515
"488","PI329597","drymass","NA",11.3005450887506
"489","PI156326","drymass","NA",11.3018848713082
"490","PI329836","drymass","NA",11.3113315587872
"491","PI525742","drymass","NA",11.3186874429589
"492","PI457822","drymass","NA",11.3192087634948
"493","PI525625","drymass","NA",11.343116915379
"494","PI525676","drymass","NA",11.346756763972
"495","PI276781","drymass","NA",11.3485575242778
"496","PI563351","drymass","NA",11.3556276362908
"497","PI660606","drymass","NA",11.3630507720693
"498","NSL51982","drymass","NA",11.3692621565045
"499","NSL51358","drymass","NA",11.3710152151723
"500","PI514427","drymass","NA",11.3821083060473
"501","PI505737","drymass","NA",11.3838368153871
"502","NSL52261","drymass","NA",11.3873550685151
"503","PI453363","drymass","NA",11.3879462844668
"504","PI452968","drymass","NA",11.4148523166479
"505","PI452851","drymass","NA",11.4251422610151
"506","PI525049","drymass","NA",11.4288901759484
"507","PI525653","drymass","NA",11.4372909446518
"508","NSL80235","drymass","NA",11.4375963043103
"509","PI248317","drymass","NA",11.4381945344912
"510","NSL54141","drymass","NA",11.4420271184016
"511","PI267614","drymass","NA",11.4461034870608
"512","PI524689","drymass","NA",11.4483488987551
"513","NSL50409","drymass","NA",11.4541791261967
"514","PI152591","drymass","NA",11.4553474542713
"515","NSL55711","drymass","NA",11.4753844712615
"516","PI452662","drymass","NA",11.4767230222731
"517","PI569457","drymass","NA",11.477055093077
"518","PI329321","drymass","NA",11.4775360372879
"519","PI525677","drymass","NA",11.4801614540725
"520","NSL50595","drymass","NA",11.497183531527
"521","PI330095","drymass","NA",11.5037647759811
"522","PI329403","drymass","NA",11.5054238098542
"523","PI570075","drymass","NA",11.5144698221317
"524","NSL365799","drymass","NA",11.5292281653032
"525","NSL52282","drymass","NA",11.5339537836493
"526","PI456401A","drymass","NA",11.5376402834419
"527","PI329860","drymass","NA",11.5459504466317
"528","PI570400","drymass","NA",11.5502062081938
"529","NSL54111","drymass","NA",11.5511523071328
"530","PI586022","drymass","NA",11.5531307999928
"531","NSL55476","drymass","NA",11.5585769156855
"532","NSL51959","drymass","NA",11.5673577474519
"533","PI525651","drymass","NA",11.571066538718
"534","PI455852","drymass","NA",11.5724494514795
"535","PI453241","drymass","NA",11.5774686645572
"536","NSL55714","drymass","NA",11.5865917349561
"537","PI453328","drymass","NA",11.5921962082748
"538","PI522160","drymass","NA",11.6042831498323
"539","PI456431","drymass","NA",11.6053220172513
